crunch_id,name,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,num_exited_competitor,company_count,exited_company_count
2-percent-commission-2pc,"2 Percent Commission 2PC",0,3,1,0,0,0,0.0,0,0,0,0,0,0
2-percent-commission,"2 Percent Commission",0,3,1,0,0,0,0.0,0,0,0,0,0,0
2-under-entertainment,"2 under entertainment",0,0,1,0,0,0,0.0,0,0,0,0,2,0
20-20-mobile,"20:20 Mobile",0,0,1,0,0,1,2.98,0,0,1,0,0,0
20-questions,"20 Questions",0,5,2,0,0,0,0.0,0,0,0,3,0,0
20-something-bloggers,"20 Something Bloggers",0,1,0,0,0,0,0.0,0,0,0,0,1,0
2020-ventures-llc,"2020 Ventures, LLC",0,0,2,0,0,0,0.0,0,0,0,0,1,0
2020-ventures,"2020 Ventures",0,0,1,0,0,0,0.0,0,0,0,0,0,0
20ave-store,"20ave Store",0,1,1,0,0,0,0.0,0,0,0,0,0,0
20blinks,"20blinks",0,0,0,0,0,0,0.0,0,0,0,0,0,0
20dc,"20DC",0,0,1,0,0,0,0.0,0,0,0,0,0,0
20dollarbanners,"20DollarBanners",0,0,1,0,0,0,0.0,0,0,0,0,1,0
20jeans,"20JEANS",0,0,0,0,0,1,0.1,0,0,3,0,0,0
20x200,"20x200",0,0,1,0,0,2,0.28,0,0,17,0,4,0
21-fun-casino,"21 Fun Casino",0,0,1,0,1,0,0.0,0,0,0,0,1,0
210-tv,"210 TV",0,4,1,0,0,0,0.0,0,0,0,2,1,0
212-media,"[212]Media",0,0,1,3,0,0,0.0,0,0,0,0,3,0
21212,"21212",0,0,2,0,0,0,0.0,0,0,0,0,7,0
21brains,"21Brains",0,0,1,0,0,0,0.0,0,0,0,0,0,0
21diamonds-india,"21Diamonds India",0,0,1,0,0,0,0.0,0,0,0,0,0,0
21fifty,"21FIFTY",0,0,1,0,0,0,0.0,0,0,0,0,0,0
22seeds,"22seeds",0,0,0,1,0,0,0.0,0,0,0,0,0,0
22tracks,"22tracks",0,0,1,0,0,0,0.0,0,0,0,0,2,0
23-snaps-ltd,"23 Snaps Ltd",1,0,1,0,0,0,0.0,0,0,0,0,2,0
2359-media,"2359 Media",0,0,1,0,0,1,0.0615,0,0,1,0,0,0
