crunch_id,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,success
ambicom-holdings,0,0,1,0,0,0,0.0,2,0,0,0
ambient-devices,0,0,0,0,0,5,1.03,0,0,11,0
ambient-rings,5,0,0,0,0,0,0.0,0,0,0,0
amd-telecom,0,0,6,0,0,0,0.0,0,0,0,0
american-wireless,0,0,0,0,0,0,0.0,0,0,0,0
amethon-solutions,0,4,2,1,0,0,0.0,0,0,0,0
amobee,0,1,1,1,0,5,5.4,2,0,12,1
amobilefuture,0,0,0,1,0,0,0.0,0,0,0,0
amoobi,0,0,1,0,0,1,0.0125,0,0,0,0
amotech,0,0,1,0,0,2,0.04,0,0,0,0
amp-idea,0,0,1,0,0,0,0.0,0,0,0,0
ampd-mobile,0,0,0,0,0,1,10.7,0,0,11,0
amrica-mvil,0,0,0,0,0,0,0.0,0,0,0,0
amsterdam-systems,4,2,1,2,4,3,0.026,0,0,0,0
analyst,0,0,0,0,0,0,0.0,0,0,0,0
anchor-mobile,0,0,1,0,0,0,0.0,0,0,0,0
andbot,0,2,0,0,0,0,0.0,0,0,0,0
andinatech,0,0,2,0,0,0,0.0,0,0,0,0
andrea-vettori,0,0,0,0,0,0,0.0,0,0,0,0
android-app-review-source,0,0,0,0,0,0,0.0,0,0,0,0
android-applications-programmer,0,0,0,0,0,0,0.0,0,0,0,0
android,6,0,1,0,0,0,0.0,0,0,0,1
androidster,0,0,0,0,0,0,0.0,0,0,0,0
androidudes,0,0,0,1,0,0,0.0,0,0,0,0
andspot,2,1,1,1,0,0,0.0,0,0,0,0
anevia,0,0,1,0,0,2,0.833,0,0,3,0
animal-systems,0,0,1,0,0,0,0.0,0,0,0,0
ante-up,0,0,0,0,0,2,0.016,0,0,2,0
anttenna,0,0,1,0,0,1,0.0,0,0,0,0
anubii-official,0,2,1,0,0,0,0.0,0,0,0,0
any-do,3,0,0,0,0,1,0.1,0,0,6,0
anyfi-networks,0,0,1,0,0,1,0.15,0,0,1,0
anylist,0,0,1,0,0,0,0.0,0,0,0,0
anythingformycell-com,0,2,0,0,1,0,0.0,0,0,0,0
apertio,0,0,1,0,0,1,3.0,0,0,6,1
aperto-networks,0,0,1,0,0,11,15.8,0,0,49,1
apexacore,0,0,1,0,0,0,0.0,0,0,0,0
apollo-matrix,0,0,1,0,0,0,0.0,0,0,0,1
app-camelot,0,0,0,0,0,0,0.0,0,0,0,0
app-champ,0,0,2,0,0,0,0.0,0,0,0,0
app-co,0,2,0,1,0,0,0.0,0,0,0,0
app-cubby,0,0,1,2,0,0,0.0,0,0,0,0
