crunch_id,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,num_exited_competitor,company_count,exited_company_count
360-sports-software,0,0,1,1,0,0,0.0,0,0,0,0,1,0
360-thinking,0,0,1,0,0,0,0.0,0,0,0,0,0,0
360cities,0,0,1,2,0,1,0.0,0,0,0,0,2,0
360fashion-network,0,0,2,0,0,0,0.0,0,0,0,0,0,0
360incentives-com,0,0,1,0,0,1,0.765,0,0,2,0,1,0
360jobinterview-com,0,0,1,0,0,0,0.0,0,0,0,0,2,0
360report,0,0,1,0,0,0,0.0,0,0,0,0,1,0
365-retail-markets,0,0,1,0,0,0,0.0,0,0,0,0,0,0
39-celsius-web-marketing-consulting,0,0,1,0,0,0,0.0,0,0,0,0,0,0
3ad-at,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3advance,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3al-universal-trade,0,0,1,0,0,0,0.0,0,0,0,0,0,0
3bmg,0,0,1,0,0,0,0.0,0,0,0,0,0,0
3c-limited,0,0,1,0,0,0,0.0,0,0,0,0,0,0
3cityadvertising-com,0,0,1,0,1,0,0.0,0,0,0,0,0,0
3clickemr-corporation,0,7,1,0,0,2,0.05,0,0,0,1,0,0
3crumbs-2,1,0,1,0,0,0,0.0,0,0,0,0,0,0
3d-creation-lab,0,0,1,0,1,0,0.0,0,0,0,0,0,0
3d-hubs,0,1,1,0,0,0,0.0,0,0,0,0,0,0
3d-service,0,0,2,0,0,0,0.0,0,0,0,0,0,0
3db2o,0,0,3,0,0,0,0.0,0,0,0,0,0,0
3dcadportal,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3dealz-com,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3defy,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3degreesnation,0,0,1,0,0,0,0.0,0,0,0,0,1,0
3desk,0,0,0,0,0,0,0.0,0,0,0,0,2,0
3dgis,0,4,2,0,0,0,0.0,0,0,0,1,0,0
3dicd,1,0,0,1,0,0,0.0,0,0,0,0,0,0
3f,0,0,3,0,0,0,0.0,0,0,0,0,0,0
3floz-com,0,0,1,4,0,0,0.0,0,0,0,0,2,0
3g-logic-infotech,0,0,1,0,0,0,0.0,0,0,0,0,0,0
3g-multimedia,0,3,1,0,0,1,0.17,0,0,1,0,0,0
3maps-ilovevitaly-project,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3monx,0,0,1,0,0,0,0.0,0,0,0,0,0,0
3oclockclub,0,2,1,0,2,0,0.0,0,0,0,1,0,0
3ones,0,0,1,0,0,0,0.0,0,0,0,0,0,0
3play-media,0,0,1,0,0,2,0.0962,0,0,0,0,2,0
3presupuestos,0,0,1,0,0,0,0.0,0,0,0,0,0,0
3rd-eye-web-solution,0,0,1,0,1,0,0.0,0,0,0,0,0,0
3rd-planet,8,0,2,1,0,2,0.15,0,0,2,0,0,0
3rd-sensation,1,0,1,0,0,0,0.0,0,0,0,0,0,0
3seventy-enterprise,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3taps,0,0,1,0,0,0,0.0,0,1,0,0,1,0
3to30-com,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3wine,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3xscreen-media,0,6,1,0,0,0,0.0,0,0,0,0,0,0
3zaps,1,0,1,0,0,0,0.0,0,0,0,0,0,0
4-fingers-social-ratings,1,0,0,0,0,0,0.0,0,0,0,0,0,0
4-flashes-photo-booths,0,0,1,0,0,0,0.0,0,0,0,0,0,0
4-showbiz,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4-tell,0,0,1,0,0,2,0.103,0,0,8,0,2,0
40-dating,0,0,0,0,0,0,0.0,0,0,0,0,0,0
400,0,1,1,0,0,0,0.0,0,0,0,0,3,0
40billion,0,0,1,0,0,3,0.105,0,0,0,0,2,0
40forhire,0,1,0,0,0,0,0.0,0,0,0,0,0,0
40nuggets,0,0,0,2,0,0,0.0,0,0,0,0,3,0
410-labs,0,0,1,2,0,1,0.075,0,0,4,0,0,0
411-buy-it-now,0,0,1,0,0,0,0.0,0,0,0,0,0,0
415-ventures,0,5,1,0,0,0,0.0,0,0,0,5,1,0
42-coffee-cups,0,0,2,1,0,0,0.0,0,0,0,0,0,0
420list-org,0,0,0,0,0,0,0.0,0,0,0,0,0,0
42dev,0,0,1,0,0,0,0.0,0,0,0,0,0,0
42floors,0,0,0,0,0,3,1.77,0,0,12,0,7,2
42goals,1,0,1,0,0,0,0.0,0,0,0,0,0,0
42tasks-com,0,0,1,0,0,0,0.0,0,0,0,0,0,0
44-web-design,0,0,0,0,0,0,0.0,0,0,0,0,0,0
444kupon,0,0,0,0,0,0,0.0,0,0,0,0,0,0
44ideas,0,0,0,0,0,0,0.0,0,0,0,0,0,0
44tips,0,2,1,0,0,0,0.0,0,0,0,1,1,0
45-sound,0,0,1,0,0,0,0.0,0,0,0,0,5,0
474747net,0,0,0,0,0,0,0.0,0,0,0,0,0,0
48-hour-masters,0,0,0,0,0,0,0.0,0,0,0,0,0,0
484-group,0,3,0,0,0,0,0.0,0,0,0,1,3,0
48hourslogo,0,1,1,0,0,0,0.0,0,0,0,0,1,0
49-research,0,0,1,0,0,0,0.0,0,0,0,0,0,0
49-seo-services,0,0,1,0,0,0,0.0,0,0,0,0,0,0
49lights,0,0,1,0,0,0,0.0,0,0,0,0,0,0
49st-technologies,0,0,1,0,0,0,0.0,0,0,0,0,0,0
4allphone,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4am-design-and-technology-labs,0,0,1,1,0,0,0.0,0,0,0,0,2,0
4am-technologies,0,0,1,0,0,0,0.0,0,0,0,0,0,0
4autoinsurancequote,0,4,1,0,1,0,0.0,0,0,0,2,1,0
4car-in,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4creative,0,4,1,0,1,0,0.0,0,0,0,1,2,0
4dable,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4delite,1,2,1,0,0,0,0.0,0,0,0,0,0,0
4diq,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4got2book-com,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4ja8ja,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4less,0,1,1,0,0,1,0.1,0,0,1,0,0,0
4llstaff-com,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4m-iberoamrica,0,0,1,0,0,0,0.0,0,0,0,0,1,0
4ormat,0,0,1,0,0,0,0.0,0,0,0,0,2,0
4sqwifi,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4stepfinance,0,0,1,0,1,0,0.0,0,0,0,0,3,0
4sync,0,2,1,0,0,0,0.0,0,0,0,0,0,0
4th-aspect,1,0,1,2,0,3,0.0322,0,0,3,0,0,0
4thaspect,1,0,0,0,0,0,0.0,0,0,0,0,0,0
4tiitoo,0,0,1,0,0,1,0.0,0,0,1,0,0,0
4word-thought-entertainment,0,0,1,0,0,0,0.0,0,0,0,0,1,0
5-dollars-or-less,0,0,0,0,0,0,0.0,0,0,0,0,0,0
5-five,0,0,0,0,0,0,0.0,0,0,0,0,0,0
5-star-loans,0,2,1,0,0,0,0.0,0,0,0,0,0,0
5000fish,0,4,2,0,0,0,0.0,0,0,0,1,1,0
5000hands,0,0,0,0,0,0,0.0,0,0,0,0,5,0
500friends,0,0,1,0,0,4,1.29,0,0,22,0,1,0
501k,1,0,0,0,0,0,0.0,0,0,0,0,6,1
50i50-in-c,0,0,1,0,0,0,0.0,0,0,0,0,2,0
50offbags,0,0,0,0,0,0,0.0,0,0,0,0,0,0
51-give,2,2,1,1,0,1,0.0,0,0,0,0,3,0
51give,0,0,0,0,0,0,0.0,0,0,0,0,0,0
51intern-com-2,0,0,1,0,0,1,0.0,0,0,2,0,0,0
51sim,0,0,0,0,0,0,0.0,0,0,0,0,0,0
